uid,price,cname,cemail,cpassword,cphone,bname,baddress,blat,blng,imge_url,status,isSupliment,barHas,barWeekDay,barBottle
0,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.39947151,-6.006725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
1,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.49947151,-5.906725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
2,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.59947151,-5.806725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
3,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.69947151,-5.706725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
4,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.79947151,-5.606725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
5,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.89947151,-5.506725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
6,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,38.99947151,-5.406725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
7,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,39.09947151,-5.306725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
8,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,39.19947151,-5.206725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
9,3.5,Kiko,campoabierto1@hotmail.com,f2b58369ebb00919d170e429ffa6d861,603 87 05 50,Hotel restaurante campo abierto ,Carretera De Puebla De Alcocer A Ex-201 Por Llerena 1; 06444 Valencia de las Torres; Badajoz; Spain,39.29947151,-5.106725229,http://178.62.228.40/bebelo//uploads/281.png?1084008399,0,FALSE,"[{""title"":""Terrace"";""isSelected"":true};{""title"":""Rooftop"";""isSelected"":false}]","[{""evalue"":946738800000;""svalue"":946710000000;""name"":""Monday"";""weekDay"":""Monday""};{""evalue"":946684800000;""weekDay"":""Monday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Tuesday"";""weekDay"":""Tuesday""};{""evalue"":946684800000;""weekDay"":""Tuesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Wednesday"";""weekDay"":""Wednesday""};{""evalue"":946684800000;""weekDay"":""Wednesday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Thursday"";""weekDay"":""Thursday""};{""evalue"":946684800000;""weekDay"":""Thursday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Friday"";""weekDay"":""Friday""};{""evalue"":946684800000;""weekDay"":""Friday"";""svalue"":946749600000};{""evalue"":946738800000;""svalue"":946710000000;""name"":""Saturday"";""weekDay"":""Saturday""};{""evalue"":946684800000;""weekDay"":""Saturday"";""svalue"":946749600000};{""evalue"":946681200000;""svalue"":946710000000;""name"":""Sunday"";""weekDay"":""Sunday""};{""evalue"":946684800000;""weekDay"":""Sunday"";""svalue"":946749600000}]","[{""drinkPrice"":""-"";""drinkName"":""Tanqueray"";""drinkImage"":""dd1""};{""drinkPrice"":""3.50"";""drinkName"":""Beefeater"";""drinkImage"":""dd2""};{""drinkPrice"":""3.50"";""drinkName"":""Brugal"";""drinkImage"":""dd3""};{""drinkPrice"":""1"";""drinkName"":""Caña"";""drinkImage"":""d4""};{""drinkPrice"":""1.50"";""drinkName"":""Doble"";""drinkImage"":""d5""};{""drinkPrice"":""3.50"";""drinkName"":""Barceló"";""drinkImage"":""d8""};{""drinkPrice"":""3.50"";""drinkName"":""Cacique"";""drinkImage"":""d10""};{""drinkPrice"":""3.50"";""drinkName"":""Johnnie Walker Red"";""drinkImage"":""d12""};{""drinkPrice"":""3.50"";""drinkName"":""J&B"";""drinkImage"":""d13""};{""drinkPrice"":""2.20"";""drinkName"":""Absolut"";""drinkImage"":""d14""};{""drinkPrice"":""2.50"";""drinkName"":""Larios"";""drinkImage"":""d25""};{""drinkPrice"":""2.50"";""drinkName"":""Negrita"";""drinkImage"":""d26""};{""drinkPrice"":""2.50"";""drinkName"":""Dyc"";""drinkImage"":""d27""}]"
